,Unnamed: 0,causalrep_train_accs,causalrep_test_accs,naive_train_accs,naive_test_accs,naive_vae_train_accs,naive_vae_test_accs,hidden_dim,l2_reg,lr,n_restarts,mode,steps,z_dim,batch_size,num_features,input_dim,vae_epochs,spurious_corr,alter_freq,randseed,target_label,spurious_label,setting,train_spurious_corr:,test_spurious_corr:
0,0,0.5727933541017654,0.5487471046536113,0.4959501624107361,0.4714677035808563,0.5264797806739807,0.4933670461177826,256,1.0,1.0,1,linear,5001,64,100,50,768,101,0.9,50,78827324,Attractive,Wearing_Necklace,Attractive_Wearing_Necklace,0.7812732529611908,-0.7763425821159751
0,0,0.5390541408089022,0.5511924342105263,0.5204365253448486,0.5045230388641357,0.5364862084388733,0.5010279417037964,256,1.0,1.0,1,linear,5001,64,100,50,768,101,0.9,50,31202826,Arched_Eyebrows,Bags_Under_Eyes,Arched_Eyebrows_Bags_Under_Eyes,0.7797556486953688,-0.7887001388451682
0,0,0.5506824793018572,0.8977189109639441,0.4370105266571045,0.5044150352478027,0.548668622970581,0.9080206155776978,256,1.0,1.0,1,linear,5001,64,100,50,768,101,0.9,50,60251098,Mustache,Male,Mustache_Male,0.8911743148828626,0.0840695388170986
0,0,0.5785329465395773,0.5651441801725953,0.5080811977386475,0.5076826214790344,0.4927476048469543,0.5304146409034729,256,1.0,1.0,1,linear,5001,64,100,50,768,101,0.9,50,64475618,Attractive,Wearing_Necklace,Attractive_Wearing_Necklace,0.7932034405306464,-0.7906139876421758
0,0,0.5696456429685759,0.6949778434268833,0.5482504963874817,0.5956425070762634,0.557833731174469,0.9091580510139464,256,1.0,1.0,1,linear,5001,64,100,50,768,101,0.9,50,23379226,Mustache,Male,Mustache_Male,0.8878142502555525,0.0870000144483932
0,0,0.5335258923045183,0.4906171809841534,0.4920569360256195,0.4858215153217315,0.5194966197013855,0.4897831380367279,256,1.0,1.0,1,linear,5001,64,100,50,768,101,0.9,50,91183662,Arched_Eyebrows,Wearing_Earrings,Arched_Eyebrows_Wearing_Earrings,0.7907496256021687,-0.7890305311744289
0,0,0.5735800344234079,0.5915637860082305,0.5333476662635803,0.5300411581993103,0.5335628390312195,0.4921810626983642,256,1.0,1.0,1,linear,5001,64,100,50,768,101,0.9,50,21838182,Arched_Eyebrows,Bags_Under_Eyes,Arched_Eyebrows_Bags_Under_Eyes,0.7816888491836577,-0.8119523784999185
0,0,0.6581108829568788,0.6537356321839081,0.6090348958969116,0.5954433679580688,0.5114989876747131,0.5077996850013733,256,1.0,1.0,1,linear,5001,64,100,50,768,101,0.9,50,29864638,Black_Hair,Mouth_Slightly_Open,Black_Hair_Mouth_Slightly_Open,0.8011148170727779,-0.8024974849488579
0,0,0.5528297826554767,0.5598194130925508,0.561652660369873,0.5717217326164246,0.5502474904060364,0.5388877391815186,256,1.0,1.0,1,linear,5001,64,100,50,768,101,0.9,50,12521520,Arched_Eyebrows,Bags_Under_Eyes,Arched_Eyebrows_Bags_Under_Eyes,0.7839169595994656,-0.8087666679195769
0,0,0.5597340536048203,0.5339338081273565,0.5111157298088074,0.5035609602928162,0.5040515065193176,0.4811478853225708,256,1.0,1.0,1,linear,5001,64,100,50,768,101,0.9,50,71071562,Attractive,Wearing_Necklace,Attractive_Wearing_Necklace,0.8097002219382173,-0.7889552803395596
0,0,0.5860486461679669,0.5337004405286344,0.574116587638855,0.5665197968482971,0.5807709693908691,0.5345814824104309,256,1.0,1.0,1,linear,5001,64,100,50,768,101,0.9,50,62105848,Mustache,Black_Hair,Mustache_Black_Hair,0.7622935626789014,-0.7771513763740455
0,0,0.6011074651353568,0.5655891553701773,0.5295324325561523,0.5213764309883118,0.5088186860084534,0.4867570400238037,256,1.0,1.0,1,linear,5001,64,100,50,768,101,0.9,50,24933324,Arched_Eyebrows,Wearing_Earrings,Arched_Eyebrows_Wearing_Earrings,0.8042884280218862,-0.8021446592265415
0,0,0.5345858240819812,0.4986622761885161,0.5006404519081116,0.5355011224746704,0.5333048701286316,0.4984564781188965,256,1.0,1.0,1,linear,5001,64,100,50,768,101,0.9,50,59499740,Arched_Eyebrows,Bags_Under_Eyes,Arched_Eyebrows_Bags_Under_Eyes,0.7929060554090697,-0.793371152887608
0,0,0.5393489905232798,0.505008347245409,0.5039142966270447,0.4972871541976928,0.516687273979187,0.4843489229679107,256,1.0,1.0,1,linear,5001,64,100,50,768,101,0.9,50,29210486,Arched_Eyebrows,Wearing_Earrings,Arched_Eyebrows_Wearing_Earrings,0.8056909089475829,-0.7864940099443892
0,0,0.5549645390070922,0.7375649591685226,0.5580673813819885,0.5449146032333374,0.4656471610069275,0.0916852280497551,256,1.0,1.0,1,linear,5001,64,100,50,768,101,0.9,50,46222560,Goatee,Male,Goatee_Male,0.8894046282164607,0.0433256399372536
0,0,0.64513474593705,0.6489273927392739,0.5108002424240112,0.5039191246032715,0.5095659494400024,0.5086633563041687,256,1.0,1.0,1,linear,5001,64,100,50,768,101,0.9,50,31061724,Black_Hair,Mouth_Slightly_Open,Black_Hair_Mouth_Slightly_Open,0.7979565608047389,-0.8027792000761408
0,0,0.584297520661157,0.5227128671033171,0.4652892649173736,0.4580604135990143,0.5109503865242004,0.4772871434688568,256,1.0,1.0,1,linear,5001,64,100,50,768,101,0.9,50,81547790,Attractive,Wearing_Necklace,Attractive_Wearing_Necklace,0.7953994687204248,-0.7790922542077526
0,0,0.5413800291849072,0.5152996175095622,0.542422354221344,0.5308117270469666,0.508442759513855,0.482787936925888,256,1.0,1.0,1,linear,5001,64,100,50,768,101,0.9,50,59504130,Attractive,Wearing_Necklace,Attractive_Wearing_Necklace,0.7843923066389005,-0.7872193831083832
0,0,0.6502180399357356,0.4872077635641817,0.5448703169822693,0.5147772431373596,0.5721827149391174,0.5427878499031067,256,1.0,1.0,1,linear,5001,64,100,50,768,101,0.9,50,31170488,Mustache,Black_Hair,Mustache_Black_Hair,0.7644878530353834,-0.7867932679998916
0,0,0.5445566286215979,0.8215586307356154,0.5509218573570251,0.5680990815162659,0.5346795320510864,0.909686803817749,256,1.0,1.0,1,linear,5001,64,100,50,768,101,0.9,50,30959472,Goatee,Male,Goatee_Male,0.8900257578577073,0.0488825776327377
