,Unnamed: 0,disentanglement,avg_corr_coef,IOSS,IRS,gaussian_total_correlation,gaussian_wasserstein_dependency,dataset,IOSS_classify,IRS_classify,gaussian_total_correlation_classify,gaussian_wasserstein_dependency_classify,avg_corr_coef_classify
0,0,entangled,0.2215095380559008,0.4135325815458186,0.7173556947333206,0.2143977245475157,0.0358866128569381,cars3d,False,True,False,True,False
1,1,disentangled,0.9159078158477278,0.4913103917894744,1.0,1.5757313386059728,0.0182563430123789,cars3d,False,True,False,True,False
0,0,entangled,0.1723325875123354,0.8537866644261073,0.5907567175534103,3.439900245694343,0.4792136477402905,dsprites,True,True,True,True,False
1,1,disentangled,0.8825557090125165,0.729997732828507,1.0,3.166951433984549,0.425310908750061,dsprites,True,True,True,True,False
0,0,entangled,0.2899651431052727,0.6846450412058972,0.587834818024109,1.355328003715849,0.2532691142417684,smallnorb,True,True,False,False,False
1,1,disentangled,0.9055101901433378,0.605168617052354,1.0,2.464500879096613,0.2746365291831684,smallnorb,True,True,False,False,False
0,0,entangled,0.8418546865528742,0.6818026244333846,0.7545214104266489,1.2399581409704885,0.232413942801353,cars3d,True,True,False,True,False
1,1,disentangled,0.9083154290940172,0.4711525095548877,1.0,1.4970880680601208,0.0176040081463897,cars3d,True,True,False,True,False
0,0,entangled,0.1565400473485275,0.6823307069047115,0.5121264790084069,0.7471570352062618,0.1864602920307925,smallnorb,True,True,False,False,False
1,1,disentangled,0.8956700575919027,0.5823564979735363,1.0,2.3348843480615917,0.2673127015086591,smallnorb,True,True,False,False,False
0,0,entangled,0.0680591096184195,0.7735362350153476,0.5386306774220546,1.797371849413075,0.2795117690993377,dsprites,True,True,False,False,False
1,1,disentangled,0.8893518153076979,0.6525887833900335,1.0,3.281385980076114,0.4396694545334523,dsprites,True,True,False,False,False
0,0,entangled,0.1308460919422289,0.5575456819874307,0.7632864459174443,0.6273106842358847,0.1654768742982443,cars3d,True,True,False,True,False
1,1,disentangled,0.9095924654771284,0.455069114107244,1.0,1.500513842162542,0.0172411742585139,cars3d,True,True,False,True,False
0,0,entangled,0.2222745097372803,0.8167999658529171,0.6036024299633939,1.9904129103136536,0.3067628585587407,dsprites,True,True,False,False,False
1,1,disentangled,0.8910751418180781,0.7293477459078197,1.0,3.29941810564376,0.4383729344857859,dsprites,True,True,False,False,False
0,0,entangled,0.2759084671328656,0.8074861502637581,0.5361732932448103,2.1667194915523003,0.3616128504212258,dsprites,True,True,False,False,False
1,1,disentangled,0.8907817086642181,0.7395296338872311,1.0,3.2719329205648853,0.4278609850046656,dsprites,True,True,False,False,False
0,0,entangled,0.0407778390984983,0.9888395106276814,0.4343480593023768,6.714765856668372,0.7079435162979208,mpi3d,True,True,True,True,False
1,1,disentangled,0.8358483327513976,0.8859147762376589,1.0,4.239311086985596,0.2930366797197436,mpi3d,True,True,True,True,False
0,0,entangled,0.0362017056653052,0.797177818015893,0.6197293747394643,2.921613539177496,0.5627637720385278,smallnorb,True,True,True,True,False
1,1,disentangled,0.9021200427631147,0.5755040263622193,1.0,2.4242361648733253,0.2778154349133585,smallnorb,True,True,True,True,False
0,0,entangled,0.444569040712638,0.8882985765402261,0.578709564448596,2.6757435984100475,0.3744136633334128,dsprites,True,True,False,False,False
1,1,disentangled,0.8949752351266034,0.7240006951313722,1.0,3.3715854877944604,0.4454443579936502,dsprites,True,True,False,False,False
0,0,entangled,0.2187700485247269,0.5759797037228953,0.7158828584007805,0.915893492478736,0.1828612724471421,cars3d,True,True,False,True,False
1,1,disentangled,0.9110811204478194,0.5023353818719359,1.0,1.5243696777205482,0.0183919235086243,cars3d,True,True,False,True,False
0,0,entangled,0.0967109628939122,1.0461046229277826,0.4622154480448063,5.486390515971932,0.5215512520467966,mpi3d,True,True,True,True,False
1,1,disentangled,0.8501118030551401,0.9225619031618144,1.0,4.569095813910312,0.3122799730506542,mpi3d,True,True,True,True,False
0,0,entangled,0.0813225059254037,0.8542617243208265,0.6090226919562244,3.764364242070217,0.3714077668771652,dsprites,True,True,True,False,False
1,1,disentangled,0.8887311241497758,0.7193013836252072,1.0,3.240187124141926,0.4300612747574858,dsprites,True,True,True,False,False
0,0,entangled,0.8652993232003316,0.7426808646732198,0.6170400764797445,2.6923180434002534,0.3610744973158201,smallnorb,True,True,True,True,False
1,1,disentangled,0.9097636820413468,0.6321589788693122,1.0,2.535185562668012,0.2837482335615988,smallnorb,True,True,True,True,False
0,0,entangled,0.0174416089772462,1.0675872126019732,0.5403062653076884,6.459016577191297,0.5752836259682643,mpi3d,True,True,True,True,False
1,1,disentangled,0.8365514687050326,0.8828104597988783,1.0,4.303954238641507,0.3096671748081749,mpi3d,True,True,True,True,False
