,Unnamed: 0,causalrep_trainood_accs,causalrep_testood_accs,naive_trainood_accs,naive_testood_accs,naive_vae_trainood_accs,naive_vae_testood_accs,naive_contrastive_trainood_accs,naive_contrastive_testood_accs,causalrep_traindownstream_accs,causalrep_testdownstream_accs,naive_traindownstream_accs,naive_testdownstream_accs,naive_vae_traindownstream_accs,naive_vae_testdownstream_accs,naive_contrastive_traindownstream_accs,naive_contrastive_testdownstream_accs,hidden_dim,l2_reg,lr,n_restarts,mode,steps,z_dim,batch_size,num_features,input_dim,vae_epochs,spurious_corr,alter_freq,randseed
0,0,0.6879768227909222,0.6867342016401351,0.523128923225495,0.5017848528702363,0.8958957025591502,0.8984081041968162,0.8958957025591502,0.8984081041968162,0.999517560005188,0.9995176196098328,0.6226508021354675,0.6226505041122437,0.999517560005188,0.9995176196098328,0.999517560005188,0.9995176196098328,256,10.0,0.01,1,linear,501,64,1000,5,392,51,0.1,50,86024428
0,0,0.732399806856591,0.7343945972021225,0.5264123611781748,0.5118186203569706,0.904780299372284,0.90429329474192,0.904780299372284,0.90429329474192,0.999517560005188,0.9995176196098328,0.6433731913566589,0.6433733701705933,0.999517560005188,0.9995176196098328,0.999517560005188,0.9995176196098328,256,10.0,0.01,1,linear,501,64,1000,5,392,51,0.1,50,60631616
0,0,0.6736842105263158,0.6976362759286059,0.5220666344760985,0.4940665701881331,0.7314340898116852,0.4506512301013025,0.7314340898116852,0.4506512301013025,0.999517560005188,0.9995176196098328,0.6260243058204651,0.6260240077972412,0.999517560005188,0.9995176196098328,0.999517560005188,0.9995176196098328,256,10.0,0.01,1,linear,501,64,1000,5,392,51,0.7,50,94246512
0,0,0.6974408498309995,0.6641582247949831,0.5213906325446644,0.50767004341534,0.7259295026557219,0.4496864447660396,0.7259295026557219,0.4496864447660396,0.999517560005188,0.9995176196098328,0.6173496246337891,0.6173493266105652,0.999517560005188,0.9995176196098328,0.999517560005188,0.9995176196098328,256,10.0,0.01,1,linear,501,64,1000,5,392,51,0.7,50,93460002
0,0,0.6395943988411396,0.6464061746261457,0.5213906325446644,0.5073806078147612,0.8962819893771125,0.8968644476603955,0.8962819893771125,0.8968644476603955,0.999517560005188,0.9995176196098328,0.6390362977981567,0.6390360593795776,0.999517560005188,0.9995176196098328,0.999517560005188,0.9995176196098328,256,10.0,0.01,1,linear,501,64,1000,5,392,51,0.1,50,53638578
0,0,0.687107677450507,0.662807525325615,0.5256397875422502,0.5039073806078148,0.7318203766296475,0.7138446695610227,0.7318203766296475,0.7138446695610227,0.9995176792144777,0.9995176196098328,0.6216869354248047,0.6216866374015808,0.999517560005188,0.9995176196098328,0.999517560005188,0.9995176196098328,256,10.0,0.01,1,linear,501,64,1000,5,392,51,0.5,50,26494000
0,0,0.6746499275712217,0.6815243608297153,0.5173346209560599,0.5031355523396044,0.8992757122163206,0.9047756874095514,0.8992757122163206,0.9047756874095514,0.999517560005188,0.9995176196098328,0.6274695992469788,0.6274697780609131,0.999517560005188,0.9995176196098328,0.999517560005188,0.9995176196098328,256,10.0,0.01,1,linear,501,64,1000,5,392,51,0.1,50,91287966
0,0,0.6999517141477547,0.6493970091654607,0.5220666344760985,0.5077665219488664,0.7259295026557219,0.4449589966232513,0.7259295026557219,0.4449589966232513,0.999517560005188,0.9995176196098328,0.6125298738479614,0.6125300526618958,0.999517560005188,0.9995176196098328,0.999517560005188,0.9995176196098328,256,10.0,0.01,1,linear,501,64,1000,5,392,51,0.7,50,4053916
0,0,0.6915499758570739,0.682392667631452,0.5206180589087397,0.5021707670043415,0.73056494447127,0.42392667631452,0.73056494447127,0.42392667631452,0.9995177388191224,0.9995176196098328,0.6115664839744568,0.6115661859512329,0.999517560005188,0.9995176196098328,0.999517560005188,0.9995176196098328,256,10.0,0.01,1,linear,501,64,1000,5,392,51,0.7,50,27731224
0,0,0.6689521970062772,0.6290400385914134,0.5228392081120232,0.5123974915581283,0.7243843553838726,0.7314037626628075,0.7243843553838726,0.7314037626628075,0.999517560005188,0.9995176196098328,0.6289158463478088,0.628915548324585,0.999517560005188,0.9995176196098328,0.999517560005188,0.9995176196098328,256,10.0,0.01,1,linear,501,64,1000,5,392,51,0.5,50,39417710
0,0,0.6712699179140512,0.6855764592378196,0.5206180589087397,0.5034249879401833,0.7251569290197972,0.7315002411963338,0.7251569290197972,0.7315002411963338,0.9995176792144777,0.9995176196098328,0.6351808905601501,0.6351805925369263,0.999517560005188,0.9995176196098328,0.999517560005188,0.9995176196098328,256,10.0,0.01,1,linear,501,64,1000,5,392,51,0.5,50,98832322
0,0,0.6952197006277161,0.6932947419199228,0.5208112023177209,0.5104679208876025,0.9009174311926604,0.8981186685962373,0.9009174311926604,0.8981186685962373,0.9995177388191224,0.9995176196098328,0.6284339427947998,0.6284336447715759,0.999517560005188,0.9995176196098328,0.999517560005188,0.9995176196098328,256,10.0,0.01,1,linear,501,64,1000,5,392,51,0.1,50,24867320
0,0,0.6919362626750362,0.6701398938736132,0.526122646064703,0.4962855764592378,0.7175277643650411,0.4145682585624698,0.7175277643650411,0.4145682585624698,0.999517560005188,0.9995176196098328,0.6144571304321289,0.6144577264785767,0.999517560005188,0.9995176196098328,0.999517560005188,0.9995176196098328,256,10.0,0.01,1,linear,501,64,1000,5,392,51,0.7,50,22103856
0,0,0.6872042491549976,0.7039073806078148,0.5165620473201352,0.5084418716835504,0.7224529212940608,0.8092619392185239,0.7224529212940608,0.8092619392185239,0.9995177388191224,0.9995176196098328,0.6346985101699829,0.6346986889839172,0.999517560005188,0.9995176196098328,0.999517560005188,0.9995176196098328,256,10.0,0.01,1,linear,501,64,1000,5,392,51,0.3,50,9274374
0,0,0.6815065185900531,0.6788229618909792,0.5136648961854177,0.501013024602026,0.7188797682279092,0.4476603955619874,0.7188797682279092,0.4476603955619874,0.999517560005188,0.9995176196098328,0.6404821276664734,0.6404818296432495,0.999517560005188,0.9995176196098328,0.999517560005188,0.9995176196098328,256,10.0,0.01,1,linear,501,64,1000,5,392,51,0.7,50,23125680
0,0,0.7230323515210043,0.6518089725036179,0.5217769193626267,0.4955137481910275,0.8996619990342829,0.0998552821997105,0.8996619990342829,0.0998552821997105,0.999517560005188,0.9995176196098328,0.6139756441116333,0.6139758229255676,0.999517560005188,0.9995176196098328,0.999517560005188,0.9995176196098328,256,10.0,0.01,1,linear,501,64,1000,5,392,51,0.9,50,86497872
0,0,0.6752293577981652,0.6894356005788712,0.5203283437952679,0.509310178485287,0.7271849348140995,0.8189097925711529,0.7271849348140995,0.8189097925711529,0.999517560005188,0.9995176196098328,0.6337346434593201,0.6337348222732544,0.999517560005188,0.9995176196098328,0.999517560005188,0.9995176196098328,256,10.0,0.01,1,linear,501,64,1000,5,392,51,0.3,50,74550028
0,0,0.659005311443747,0.7068017366136035,0.5193626267503622,0.5078630004823926,0.8972477064220183,0.1007235890014471,0.8972477064220183,0.1007235890014471,0.999517560005188,0.9995176196098328,0.6192768812179565,0.6192770004272461,0.999517560005188,0.9995176196098328,0.999517560005188,0.9995176196098328,256,10.0,0.01,1,linear,501,64,1000,5,392,51,0.9,50,65639052
0,0,0.6783196523418639,0.6688856729377713,0.5234186383389667,0.5122045344910757,0.7270883631096089,0.7320791123974916,0.7270883631096089,0.7320791123974916,0.999517560005188,0.9995176196098328,0.6438551545143127,0.6438553333282471,0.999517560005188,0.9995176196098328,0.999517560005188,0.9995176196098328,256,10.0,0.01,1,linear,501,64,1000,5,392,51,0.5,50,58809518
0,0,0.7020762916465476,0.7157742402315485,0.5294060840173829,0.5128798842257598,0.7342346692419122,0.8150506512301013,0.7342346692419122,0.8150506512301013,0.9995177388191224,0.9995176196098328,0.6293973326683044,0.6293975114822388,0.999517560005188,0.9995176196098328,0.999517560005188,0.9995176196098328,256,10.0,0.01,1,linear,501,64,1000,5,392,51,0.3,50,94826534
0,0,0.6841139546112989,0.6931982633863966,0.5202317720907774,0.5034249879401833,0.7196523418638339,0.816304872165943,0.7196523418638339,0.816304872165943,0.999517560005188,0.9995176196098328,0.6399996876716614,0.6399998664855957,0.999517560005188,0.9995176196098328,0.999517560005188,0.9995176196098328,256,10.0,0.01,1,linear,501,64,1000,5,392,51,0.3,50,96443152
0,0,0.6819893771125061,0.6904968644476603,0.5206180589087397,0.5117221418234443,0.8981168517624336,0.1050651230101302,0.8981168517624336,0.1050651230101302,0.999517560005188,0.9995176196098328,0.6313250064849854,0.6313251852989197,0.999517560005188,0.9995176196098328,0.999517560005188,0.9995176196098328,256,10.0,0.01,1,linear,501,64,1000,5,392,51,0.9,50,59567706
0,0,0.6845002414292612,0.7010130246020261,0.5153066151617576,0.5036179450072359,0.7257363592467407,0.710950313555234,0.7257363592467407,0.710950313555234,0.999517560005188,0.9995176196098328,0.6269881725311279,0.626987874507904,0.999517560005188,0.9995176196098328,0.999517560005188,0.9995176196098328,256,10.0,0.01,1,linear,501,64,1000,5,392,51,0.5,50,51876606
0,0,0.7045871559633028,0.6676314520019295,0.5217769193626267,0.5098890496864448,0.9000482858522453,0.1050651230101302,0.9000482858522453,0.1050651230101302,0.9995177388191224,0.9995176196098328,0.6298797130584717,0.6298794150352478,0.999517560005188,0.9995176196098328,0.999517560005188,0.9995176196098328,256,10.0,0.01,1,linear,501,64,1000,5,392,51,0.9,50,96819562
0,0,0.6495412844036698,0.6258562469850458,0.5177209077740222,0.5007235890014472,0.7247706422018348,0.8208393632416787,0.7247706422018348,0.8208393632416787,0.9995176792144777,0.9995176196098328,0.6481924653053284,0.6481926441192627,0.999517560005188,0.9995176196098328,0.999517560005188,0.9995176196098328,256,10.0,0.01,1,linear,501,64,1000,5,392,51,0.3,50,7607234
0,0,0.7481409946885562,0.755137481910275,0.5292129406084017,0.5017848528702363,0.8977305649444712,0.8983116256632899,0.8977305649444712,0.8983116256632899,0.9995177388191224,0.9995176196098328,0.6207221746444702,0.620722770690918,0.999517560005188,0.9995176196098328,0.999517560005188,0.9995176196098328,256,10.0,0.01,1,linear,501,64,1000,5,392,51,0.1,50,54710578
0,0,0.7027522935779816,0.7344910757356489,0.5201352003862868,0.5167390255668114,0.7235152100434573,0.8193921852387843,0.7235152100434573,0.8193921852387843,0.9995177388191224,0.9995176196098328,0.6496382355690002,0.6496384143829346,0.999517560005188,0.9995176196098328,0.999517560005188,0.9995176196098328,256,10.0,0.01,1,linear,501,64,1000,5,392,51,0.3,50,6973948
0,0,0.6925156929019797,0.6921369995176073,0.5211974891356832,0.5101784852870236,0.8994688556253018,0.8983116256632899,0.8994688556253018,0.8983116256632899,0.9995177388191224,0.9995176196098328,0.6231322884559631,0.6231324076652527,0.999517560005188,0.9995176196098328,0.999517560005188,0.9995176196098328,256,10.0,0.01,1,linear,501,64,1000,5,392,51,0.1,50,95657402
0,0,0.6939642684693385,0.6585624698504583,0.5247706422018349,0.5088277858176555,0.7204249154997586,0.4466956102267245,0.7204249154997586,0.4466956102267245,0.999517560005188,0.9995176196098328,0.6293973326683044,0.6293975114822388,0.999517560005188,0.9995176196098328,0.999517560005188,0.9995176196098328,256,10.0,0.01,1,linear,501,64,1000,5,392,51,0.7,50,5155520
0,0,0.7000482858522453,0.6332850940665702,0.5236117817479479,0.5078630004823926,0.721487204249155,0.4717800289435601,0.721487204249155,0.4717800289435601,0.999517560005188,0.9995176196098328,0.6289158463478088,0.628915548324585,0.999517560005188,0.9995176196098328,0.999517560005188,0.9995176196098328,256,10.0,0.01,1,linear,501,64,1000,5,392,51,0.7,50,73035722
0,0,0.695702559150169,0.6663772310660878,0.52892322549493,0.4958996623251326,0.727764365041043,0.4194886637723106,0.727764365041043,0.4194886637723106,0.999517560005188,0.9995176196098328,0.6187949180603027,0.6187950968742371,0.999517560005188,0.9995176196098328,0.999517560005188,0.9995176196098328,256,10.0,0.01,1,linear,501,64,1000,5,392,51,0.7,50,91877994
0,0,0.6877836793819411,0.6771828268210324,0.5166586190246257,0.5044862518089726,0.7220666344760985,0.7156777616980222,0.7220666344760985,0.7156777616980222,0.999517560005188,0.9995176196098328,0.6284339427947998,0.6284336447715759,0.999517560005188,0.9995176196098328,0.999517560005188,0.9995176196098328,256,10.0,0.01,1,linear,501,64,1000,5,392,51,0.5,50,25539670
0,0,0.6916465475615644,0.6750602990834539,0.523128923225495,0.504968644476604,0.730082085948817,0.4677279305354558,0.730082085948817,0.4677279305354558,0.999517560005188,0.9995176196098328,0.6202406883239746,0.6202408671379089,0.999517560005188,0.9995176196098328,0.999517560005188,0.9995176196098328,256,10.0,0.01,1,linear,501,64,1000,5,392,51,0.7,50,96370794
0,0,0.6880733944954128,0.7043897732754462,0.519845485272815,0.5078630004823926,0.7251569290197972,0.811287988422576,0.7251569290197972,0.811287988422576,0.999517560005188,0.9995176196098328,0.6212045550346375,0.6212047338485718,0.999517560005188,0.9995176196098328,0.999517560005188,0.9995176196098328,256,10.0,0.01,1,linear,501,64,1000,5,392,51,0.3,50,94575460
0,0,0.652728150651859,0.6677279305354559,0.5256397875422502,0.4985045827303425,0.9010140028971512,0.8964785335262904,0.9010140028971512,0.8964785335262904,0.999517560005188,0.9995176196098328,0.644819438457489,0.6448191404342651,0.999517560005188,0.9995176196098328,0.999517560005188,0.9995176196098328,256,10.0,0.01,1,linear,501,64,1000,5,392,51,0.1,50,4988312
0,0,0.7035248672139063,0.6459237819585142,0.5272815065185901,0.5160636758321273,0.7323032351521004,0.4684997588036662,0.7323032351521004,0.4684997588036662,0.999517560005188,0.9995176196098328,0.6221684217453003,0.6221686005592346,0.999517560005188,0.9995176196098328,0.999517560005188,0.9995176196098328,256,10.0,0.01,1,linear,501,64,1000,5,392,51,0.7,50,84768634
0,0,0.6856591018831483,0.6457308248914616,0.5143408981168518,0.5115291847563918,0.7238049251569291,0.7188615533043897,0.7238049251569291,0.7188615533043897,0.999517560005188,0.9995176196098328,0.61686772108078,0.6168673634529114,0.999517560005188,0.9995176196098328,0.999517560005188,0.9995176196098328,256,10.0,0.01,1,linear,501,64,1000,5,392,51,0.5,50,13315402
0,0,0.6961854176726219,0.6741919922817173,0.5171414775470787,0.5078630004823926,0.8937711250603573,0.1008200675349734,0.8937711250603573,0.1008200675349734,0.999517560005188,0.9995176196098328,0.6289158463478088,0.628915548324585,0.999517560005188,0.9995176196098328,0.999517560005188,0.9995176196098328,256,10.0,0.01,1,linear,501,64,1000,5,392,51,0.9,50,22466444
0,0,0.6816030902945437,0.7110467920887602,0.5206180589087397,0.5066087795465509,0.7321100917431193,0.8223830197780994,0.7321100917431193,0.8223830197780994,0.999517560005188,0.9995176196098328,0.6583133935928345,0.6583130955696106,0.999517560005188,0.9995176196098328,0.999517560005188,0.9995176196098328,256,10.0,0.01,1,linear,501,64,1000,5,392,51,0.3,50,20926980
0,0,0.6541767262192177,0.7627592860588519,0.5271849348140994,0.5058369512783406,0.7181071945919846,0.7283164495899662,0.7181071945919846,0.7283164495899662,0.999517560005188,0.9995176196098328,0.6212040781974792,0.6212047338485718,0.999517560005188,0.9995176196098328,0.999517560005188,0.9995176196098328,256,10.0,0.01,1,linear,501,64,1000,5,392,51,0.5,50,25068938
0,0,0.6793819410912603,0.694356005788712,0.5258329309512313,0.5048721659430777,0.7145340415258329,0.8178485287023637,0.7145340415258329,0.8178485287023637,0.999517560005188,0.9995176196098328,0.6472285985946655,0.6472287774085999,0.999517560005188,0.9995176196098328,0.999517560005188,0.9995176196098328,256,10.0,0.01,1,linear,501,64,1000,5,392,51,0.3,50,98488296
0,0,0.7032351521004345,0.7002411963338158,0.530082085948817,0.5165460684997588,0.9002414292612264,0.8954172696575012,0.9002414292612264,0.8954172696575012,0.9995177388191224,0.9995176196098328,0.632770836353302,0.6327709555625916,0.999517560005188,0.9995176196098328,0.999517560005188,0.9995176196098328,256,10.0,0.01,1,linear,501,64,1000,5,392,51,0.1,50,86767704
0,0,0.6870111057460164,0.6792088760250844,0.517527764365041,0.5104679208876025,0.8959922742636407,0.1028461167390255,0.8959922742636407,0.1028461167390255,0.9995177388191224,0.9995176196098328,0.6351804733276367,0.6351805925369263,0.999517560005188,0.9995176196098328,0.999517560005188,0.9995176196098328,256,10.0,0.01,1,linear,501,64,1000,5,392,51,0.9,50,69560942
0,0,0.657363592467407,0.728895320791124,0.5247706422018349,0.5020742884708153,0.7208112023177209,0.724939700916546,0.7208112023177209,0.724939700916546,0.999517560005188,0.9995176196098328,0.6366262435913086,0.6366264224052429,0.999517560005188,0.9995176196098328,0.999517560005188,0.9995176196098328,256,10.0,0.01,1,linear,501,64,1000,5,392,51,0.5,50,40593520
0,0,0.653211009174312,0.6482392667631452,0.5187831965234186,0.5095031355523396,0.7225494929985514,0.8158224794983117,0.7225494929985514,0.8158224794983117,0.9995175004005432,0.9995176196098328,0.6144580841064453,0.6144577264785767,0.999517560005188,0.9995176196098328,0.999517560005188,0.9995176196098328,256,10.0,0.01,1,linear,501,64,1000,5,392,51,0.3,50,29671936
0,0,0.6874939642684693,0.6814278822961891,0.5174311926605505,0.5038109020742885,0.7243843553838726,0.7973950795947902,0.7243843553838726,0.7973950795947902,0.999517560005188,0.9995176196098328,0.6269881725311279,0.626987874507904,0.999517560005188,0.9995176196098328,0.999517560005188,0.9995176196098328,256,10.0,0.01,1,linear,501,64,1000,5,392,51,0.3,50,49042968
