,Unnamed: 0,causalrep_train_accs,causalrep_test_accs,naive_train_accs,naive_test_accs,naive_vae_train_accs,naive_vae_test_accs,hidden_dim,l2_reg,lr,n_restarts,mode,steps,z_dim,batch_size,num_features,input_dim,vae_epochs,spurious_corr,alter_freq,randseed
0,0,0.7014258555133079,0.6864447660395562,0.9020912051200868,0.1061263903975486,0.8968631029129028,0.1230101287364959,256,1.0,0.1,1,linear,1001,64,100,20,392,101,0.9,100,74443810
0,0,0.6270912547528517,0.6994693680656054,0.8295627236366272,0.2358900159597396,0.8966729640960693,0.1046792119741439,256,1.0,0.1,1,linear,1001,128,100,20,392,101,0.9,100,73277158
0,0,0.7658745247148289,0.5808007718282682,0.8980037569999695,0.1066087782382965,0.5193915963172913,0.5021708011627197,256,1.0,0.1,1,linear,1001,64,100,20,392,101,0.9,100,25795472
0,0,0.5229087452471483,0.5089242643511819,0.7123574018478394,0.8996623158454895,0.5229087471961975,0.5089242458343506,256,1.0,0.1,1,linear,1001,64,100,20,392,101,0.3,100,46996224
0,0,0.7017110266159696,0.7120115774240231,0.8974334597587585,0.8813313841819763,0.5148288607597351,0.4944524765014648,256,1.0,0.1,1,linear,1001,64,100,20,392,101,0.1,100,25489280
0,0,0.7612167300380228,0.6010612638687892,0.8942965865135193,0.1095031350851059,0.8931558728218079,0.1095031350851059,256,1.0,0.1,1,linear,1001,128,100,20,392,101,0.9,100,33767826
0,0,0.6539923954372624,0.6333815726000965,0.5642585158348083,0.5041003227233887,0.5226235389709473,0.5108538269996643,256,1.0,0.1,1,linear,1001,64,100,20,392,101,0.3,100,23681566
0,0,0.7285171102661597,0.6410998552821997,0.8961976766586304,0.1123974919319152,0.5203421711921692,0.5113362073898315,256,1.0,0.1,1,linear,1001,32,100,20,392,101,0.9,100,71058678
0,0,0.7129277566539924,0.7510853835021708,0.7062737345695496,0.7375783920288086,0.5127376317977905,0.5195369124412537,256,1.0,0.1,1,linear,1001,64,100,20,392,101,0.3,100,53261148
0,0,0.6916349809885931,0.6931982633863966,0.6920151710510254,0.2301013022661209,0.5197718739509583,0.5185721516609192,256,1.0,0.1,1,linear,1001,64,100,20,392,101,0.7,100,70416316
0,0,0.7075095057034221,0.6719729860106126,0.9007604122161864,0.0998552814126014,0.5198668837547302,0.5050651431083679,256,1.0,0.1,1,linear,1001,64,100,20,392,101,0.9,100,16631102
0,0,0.6886882129277566,0.7028461167390255,0.5821292400360107,0.3019778132438659,0.5173954367637634,0.4891461730003357,256,1.0,0.1,1,linear,1001,64,100,20,392,101,0.5,100,66638766
0,0,0.6885931558935361,0.693680656054028,0.5137832760810852,0.6300048232078552,0.5225285291671753,0.5108538269996643,256,1.0,0.1,1,linear,1001,64,100,20,392,101,0.5,100,25715426
0,0,0.7006653992395437,0.6444766039556199,0.7017109990119934,0.1128798872232437,0.5180608034133911,0.5137481689453125,256,1.0,0.1,1,linear,1001,64,100,20,392,101,0.7,100,91984810
0,0,0.7106463878326996,0.7067052580800772,0.8968631029129028,0.9001446962356567,0.8986691832542419,0.9006271362304688,256,1.0,0.1,1,linear,1001,64,100,20,392,101,0.1,100,39682340
0,0,0.6673954372623574,0.6594307766521948,0.7094106078147888,0.8644476532936096,0.5235741138458252,0.5190545320510864,256,1.0,0.1,1,linear,1001,64,100,20,392,101,0.3,100,49471244
0,0,0.6513307984790875,0.718282682103232,0.8665398955345154,0.1886155307292938,0.5187262296676636,0.5041003227233887,256,1.0,0.1,1,linear,1001,64,100,20,392,101,0.9,100,16129094
0,0,0.6668250950570342,0.6951278340569224,0.904182493686676,0.0892426446080207,0.8929657340049744,0.1403762698173523,256,1.0,0.1,1,linear,1001,32,100,20,392,101,0.9,100,11016068
0,0,0.7565589353612168,0.623251326579836,0.9052281379699708,0.1051615998148918,0.5177756547927856,0.5089242458343506,256,1.0,0.1,1,linear,1001,32,100,20,392,101,0.9,100,85128684
0,0,0.7139733840304182,0.6473709599614086,0.8979087471961975,0.1051615998148918,0.8953421711921692,0.1109503135085105,256,1.0,0.1,1,linear,1001,64,100,20,392,101,0.9,100,2872202
0,0,0.6649239543726235,0.6965750120598166,0.8826045393943787,0.1476121544837951,0.5186311602592468,0.5089242458343506,256,1.0,0.1,1,linear,1001,32,100,20,392,101,0.9,100,73892848
0,0,0.6903041825095056,0.6869271587071877,0.697718620300293,0.8972503542900085,0.5192015171051025,0.5185721516609192,256,1.0,0.1,1,linear,1001,64,100,20,392,101,0.3,100,78813560
0,0,0.6710076045627377,0.6956102267245537,0.8732889294624329,0.1910274922847747,0.8995246887207031,0.1157742440700531,256,1.0,0.1,1,linear,1001,128,100,20,392,101,0.9,100,58831404
0,0,0.7044676806083651,0.6729377713458755,0.7239543795585632,0.6594308018684387,0.5195817351341248,0.5045827627182007,256,1.0,0.1,1,linear,1001,64,100,20,392,101,0.7,100,81433808
0,0,0.7425855513307985,0.6362759286058852,0.8719581365585327,0.2320308685302734,0.8979087471961975,0.1017848551273346,256,1.0,0.1,1,linear,1001,64,100,20,392,101,0.9,100,43870004
0,0,0.719296577946768,0.653159671972986,0.7901140451431274,0.1201157718896865,0.8958174586296082,0.1008200719952583,256,1.0,0.1,1,linear,1001,64,100,20,392,101,0.9,100,90437972
0,0,0.6459125475285171,0.7356488181379643,0.6954372525215149,0.1032320335507392,0.5267109870910645,0.5045827627182007,256,1.0,0.1,1,linear,1001,64,100,20,392,101,0.7,100,22016356
0,0,0.7059885931558936,0.683068017366136,0.8969581723213196,0.1061263903975486,0.8942015171051025,0.1128798872232437,256,1.0,0.1,1,linear,1001,128,100,20,392,101,0.9,100,24395160
0,0,0.6771863117870722,0.7452966714905933,0.6075094938278198,0.8036661744117737,0.5230038166046143,0.5132657885551453,256,1.0,0.1,1,linear,1001,64,100,20,392,101,0.5,100,92249728
0,0,0.5133079847908745,0.5002411963338157,0.5036121606826782,0.888567328453064,0.5133079886436462,0.500241219997406,256,1.0,0.1,1,linear,1001,64,100,20,392,101,0.5,100,94525850
0,0,0.6184410646387832,0.7226242161119151,0.9006654024124146,0.1017848551273346,0.8986691832542419,0.1162566319108009,256,1.0,0.1,1,linear,1001,64,100,20,392,101,0.9,100,20406220
0,0,0.7173003802281369,0.653159671972986,0.8807984590530396,0.1992281675338745,0.9015209078788756,0.1008200719952583,256,1.0,0.1,1,linear,1001,256,100,20,392,101,0.9,100,39292764
0,0,0.7350760456273764,0.638205499276411,0.90095055103302,0.1095031350851059,0.5189163088798523,0.5069947242736816,256,1.0,0.1,1,linear,1001,64,100,20,392,101,0.9,100,61926890
0,0,0.6028517110266159,0.573082489146165,0.8446767926216125,0.8340569138526917,0.51615971326828,0.4881813824176788,256,1.0,0.1,1,linear,1001,64,100,20,392,101,0.1,100,88134264
0,0,0.6737642585551331,0.6589483839845635,0.6818441152572632,0.6565364003181458,0.522243320941925,0.4949348866939544,256,1.0,0.1,1,linear,1001,64,100,20,392,101,0.3,100,19999980
0,0,0.7359315589353612,0.5967197298601061,0.8574144244194031,0.2416787296533584,0.5218631029129028,0.4968644380569458,256,1.0,0.1,1,linear,1001,128,100,20,392,101,0.9,100,11661432
0,0,0.7486692015209125,0.6164978292329957,0.894011378288269,0.1017848551273346,0.8979087471961975,0.1075735688209533,256,1.0,0.1,1,linear,1001,128,100,20,392,101,0.9,100,71700854
0,0,0.6730038022813688,0.6801736613603473,0.8866919875144958,0.0979257151484489,0.877756655216217,0.1731789708137512,256,1.0,0.1,1,linear,1001,16,100,20,392,101,0.9,100,99698846
0,0,0.716254752851711,0.7250361794500724,0.8938212990760803,0.8876025080680847,0.5270912647247314,0.512783408164978,256,1.0,0.1,1,linear,1001,64,100,20,392,101,0.1,100,65813058
0,0,0.655893536121673,0.6425470332850941,0.7070342302322388,0.8769899010658264,0.5239543318748474,0.5161601305007935,256,1.0,0.1,1,linear,1001,64,100,20,392,101,0.3,100,14804416
0,0,0.7519961977186311,0.6338639652677279,0.8998098373413086,0.111432708799839,0.8863117694854736,0.1495417356491089,256,1.0,0.1,1,linear,1001,64,100,20,392,101,0.9,100,5980454
0,0,0.7068441064638783,0.6753497346840328,0.6910645961761475,0.5315967202186584,0.8923954367637634,0.1075735688209533,256,1.0,0.1,1,linear,1001,16,100,20,392,101,0.9,100,55003638
0,0,0.6810836501901141,0.7076700434153401,0.9005703330039978,0.1046792119741439,0.5193915963172913,0.5108538269996643,256,1.0,0.1,1,linear,1001,64,100,20,392,101,0.9,100,16235364
0,0,0.6827946768060836,0.7018813314037626,0.6423003673553467,0.6975398063659668,0.5262356996536255,0.5069947242736816,256,1.0,0.1,1,linear,1001,64,100,20,392,101,0.5,100,40629980
0,0,0.6722433460076046,0.7052580800771828,0.6830798387527466,0.7120115756988525,0.5168250799179077,0.4968644380569458,256,1.0,0.1,1,linear,1001,64,100,20,392,101,0.7,100,61379936
0,0,0.6618821292775665,0.7004341534008683,0.8947718143463135,0.0998552814126014,0.8858364820480347,0.1331403702497482,256,1.0,0.1,1,linear,1001,32,100,20,392,101,0.9,100,83331402
0,0,0.6945817490494297,0.6854799807042933,0.6876425743103027,0.639652669429779,0.5181558728218079,0.5050651431083679,256,1.0,0.1,1,linear,1001,64,100,20,392,101,0.5,100,7792016
0,0,0.6519961977186312,0.6878919440424506,0.8961976766586304,0.1037144213914871,0.8919201493263245,0.118186205625534,256,1.0,0.1,1,linear,1001,64,100,20,392,101,0.9,100,65166718
0,0,0.719296577946768,0.6415822479498312,0.7128326892852783,0.6589483618736267,0.5235741138458252,0.5166425704956055,256,1.0,0.1,1,linear,1001,256,100,20,392,101,0.9,100,69508706
0,0,0.7128326996197719,0.684032802701399,0.8960075974464417,0.1109503135085105,0.9010456204414368,0.1138446703553199,256,1.0,0.1,1,linear,1001,256,100,20,392,101,0.9,100,9756148
0,0,0.679277566539924,0.7433671008200675,0.5465779304504395,0.8668596148490906,0.516254723072052,0.5248432159423828,256,1.0,0.1,1,linear,1001,64,100,20,392,101,0.5,100,27537170
0,0,0.644106463878327,0.7346840328027014,0.7028517127037048,0.1143270656466484,0.5148288607597351,0.5065122842788696,256,1.0,0.1,1,linear,1001,64,100,20,392,101,0.7,100,44613082
0,0,0.6712927756653992,0.6623251326579837,0.8979087471961975,0.1013024598360061,0.8910646438598633,0.1321755945682525,256,1.0,0.1,1,linear,1001,16,100,20,392,101,0.9,100,62756636
0,0,0.691254752851711,0.6459237819585142,0.7057033777236938,0.1437530219554901,0.5211977362632751,0.4983116388320923,256,1.0,0.1,1,linear,1001,64,100,20,392,101,0.7,100,28018504
0,0,0.7451520912547529,0.6386878919440424,0.8943915963172913,0.0998552814126014,0.8946768045425415,0.0988904982805252,256,1.0,0.1,1,linear,1001,64,100,20,392,101,0.9,100,60012378
0,0,0.6592205323193916,0.7110467920887602,0.8568440675735474,0.213217556476593,0.8939163088798523,0.1172214224934578,256,1.0,0.1,1,linear,1001,32,100,20,392,101,0.9,100,82152992
0,0,0.6877376425855514,0.6849975880366619,0.6961976885795593,0.9078630208969116,0.5156844258308411,0.5031355619430542,256,1.0,0.1,1,linear,1001,64,100,20,392,101,0.3,100,90934384
0,0,0.6810836501901141,0.698022190062711,0.7088403105735779,0.2286541312932968,0.5146387815475464,0.5166425704956055,256,1.0,0.1,1,linear,1001,64,100,20,392,101,0.7,100,72648478
0,0,0.685361216730038,0.7105643994211288,0.575950562953949,0.3039073944091797,0.5211026668548584,0.5108538269996643,256,1.0,0.1,1,linear,1001,64,100,20,392,101,0.5,100,21091350
0,0,0.686596958174905,0.7013989387361312,0.8753802180290222,0.1751085370779037,0.5152091383934021,0.5055475234985352,256,1.0,0.1,1,linear,1001,64,100,20,392,101,0.9,100,46347926
0,0,0.7095057034220532,0.678726483357453,0.733364999294281,0.6941630840301514,0.5159695744514465,0.5190545320510864,256,1.0,0.1,1,linear,1001,256,100,20,392,101,0.9,100,62403658
0,0,0.7489543726235741,0.6430294259527255,0.901425838470459,0.0906898230314254,0.5193915963172913,0.512783408164978,256,1.0,0.1,1,linear,1001,32,100,20,392,101,0.9,100,96346976
0,0,0.6972433460076045,0.6792088760250844,0.8982889652252197,0.096960924565792,0.9006654024124146,0.0935841798782348,256,1.0,0.1,1,linear,1001,128,100,20,392,101,0.9,100,90813706
0,0,0.779277566539924,0.5277375783888085,0.6915398836135864,0.6994693875312805,0.901901125907898,0.1041968166828155,256,1.0,0.1,1,linear,1001,128,100,20,392,101,0.9,100,95021768
0,0,0.69287072243346,0.6874095513748191,0.9003801941871643,0.9035214781761168,0.5187262296676636,0.4934877157211303,256,1.0,0.1,1,linear,1001,64,100,20,392,101,0.1,100,41530848
0,0,0.7297528517110267,0.748191027496382,0.8871672749519348,0.888567328453064,0.5262356996536255,0.5036179423332214,256,1.0,0.1,1,linear,1001,64,100,20,392,101,0.1,100,40851614
0,0,0.6381178707224334,0.7308248914616498,0.700950562953949,0.1249397024512291,0.5153041481971741,0.5113362073898315,256,1.0,0.1,1,linear,1001,64,100,20,392,101,0.7,100,4158772
0,0,0.6711026615969582,0.7269657501205982,0.7185360789299011,0.426435112953186,0.5216729640960693,0.5185721516609192,256,1.0,0.1,1,linear,1001,64,100,20,392,101,0.7,100,20190456
0,0,0.7667300380228137,0.769416304872166,0.8990494012832642,0.8996623158454895,0.5164448618888855,0.4992764294147491,256,1.0,0.1,1,linear,1001,64,100,20,392,101,0.1,100,45874842
0,0,0.6952471482889734,0.6637723106608779,0.7052281498908997,0.3999035358428955,0.525475263595581,0.5021708011627197,256,1.0,0.1,1,linear,1001,64,100,20,392,101,0.7,100,46872642
0,0,0.8821292775665399,0.2233478051133622,0.8961026668548584,0.1259044855833053,0.897718608379364,0.1297636330127716,256,1.0,0.1,1,linear,1001,256,100,20,392,101,0.9,100,41988410
0,0,0.6830798479087452,0.7457790641582248,0.552376389503479,0.3762662708759308,0.5253801941871643,0.5069947242736816,256,1.0,0.1,1,linear,1001,64,100,20,392,101,0.5,100,96687748
0,0,0.6883079847908745,0.6907863000482393,0.663878321647644,0.5716353058815002,0.5192015171051025,0.4954172670841217,256,1.0,0.1,1,linear,1001,64,100,20,392,101,0.5,100,56768846
0,0,0.7536121673003803,0.6097443318861553,0.8723383545875549,0.1881331354379654,0.5220532417297363,0.5123010277748108,256,1.0,0.1,1,linear,1001,256,100,20,392,101,0.9,100,38864672
0,0,0.6925855513307985,0.6917510853835022,0.8693916201591492,0.1558128297328949,0.8980988264083862,0.109020747244358,256,1.0,0.1,1,linear,1001,256,100,20,392,101,0.9,100,19389002
0,0,0.6885931558935361,0.6792088760250844,0.7023764252662659,0.8982151746749878,0.5195817351341248,0.5233960747718811,256,1.0,0.1,1,linear,1001,64,100,20,392,101,0.3,100,44342122
0,0,0.7290874524714829,0.6695610226724554,0.8961026668548584,0.1437530219554901,0.5209125280380249,0.502653181552887,256,1.0,0.1,1,linear,1001,64,100,20,392,101,0.9,100,25489554
0,0,0.6850760456273765,0.708634828750603,0.8987642526626587,0.1027496382594108,0.8962927460670471,0.1143270656466484,256,1.0,0.1,1,linear,1001,128,100,20,392,101,0.9,100,89533326
0,0,0.6527566539923955,0.6989869753979739,0.9026615619659424,0.1099855303764343,0.9022813439369202,0.1099855303764343,256,1.0,0.1,1,linear,1001,256,100,20,392,101,0.9,100,86002048
0,0,0.683745247148289,0.7067052580800772,0.6144486665725708,0.4722624123096466,0.529657781124115,0.4901109635829925,256,1.0,0.1,1,linear,1001,64,100,20,392,101,0.7,100,62198134
0,0,0.7011406844106464,0.678726483357453,0.9026615619659424,0.1032320335507392,0.5189163088798523,0.500241219997406,256,1.0,0.1,1,linear,1001,256,100,20,392,101,0.9,100,41312038
0,0,0.6982889733840304,0.6801736613603473,0.8964828848838806,0.1046792119741439,0.875,0.1982633918523788,256,1.0,0.1,1,linear,1001,64,100,20,392,101,0.9,100,20183404
0,0,0.7364068441064638,0.6468885672937771,0.9013307690620422,0.1003376767039299,0.9011406898498536,0.1032320335507392,256,1.0,0.1,1,linear,1001,256,100,20,392,101,0.9,100,31375722
0,0,0.6902091254752851,0.7216594307766522,0.5029467344284058,0.1032320335507392,0.5299429297447205,0.5147129893302917,256,1.0,0.1,1,linear,1001,64,100,20,392,101,0.5,100,92521140
0,0,0.6897338403041825,0.6777616980221901,0.5128327012062073,0.8933912515640259,0.5221482515335083,0.5016883611679077,256,1.0,0.1,1,linear,1001,64,100,20,392,101,0.5,100,47999448
